Countryname,IDRegion,year,LifeLadder,LogGDPpercapita,Socialsupport,LifeExpectancy,Freedomtomakelifechoices,Generosity,Perceptionsofcorruption,Positiveaffect,Negativeaffect
Albania,5,2020,5365,9497,710,69.3,754,7,891,679,265
Argentina,4,2020,5901,9850,897,69.2,823,-122,816,764,342
Australia,2,2020,7137,10760,937,74.2,905,210,491,769,205
Austria,1,2020,7213,10851,925,73.6,912,11,464,769,206
Bahrain,3,2020,6173,10620,848,69.7,945,132,,790,297
Bangladesh,10,2020,5280,8472,739,65.3,777,-9,742,582,332
Belgium,1,2020,6839,10771,904,72.4,767,-164,634,647,260
Benin,9,2020,4408,8102,507,55.1,783,-83,532,609,305
Bolivia,4,2020,5559,8998,805,64.2,877,-54,868,790,382
Bosnia and Herzegovina,5,2020,5516,9583,899,68.4,740,138,916,644,325
Brazil,4,2020,6110,9522,831,66.8,786,-53,729,692,389
Bulgaria,5,2020,5598,9991,916,67.2,818,-4,901,706,221
Cambodia,7,2020,4377,8362,724,62.4,963,52,863,878,390
Cameroon,9,2020,5241,8175,720,54.3,675,49,837,630,386
Canada,2,2020,7025,10730,931,74,887,50,434,796,307
Chile,4,2020,6151,10020,888,70.1,781,33,812,815,336
China,6,2020,5771,9702,808,69.9,891,-103,,789,245
Colombia,4,2020,5709,9495,797,68.3,840,-85,808,795,340
Croatia,5,2020,6508,10166,923,71.4,837,-63,961,743,286
Cyprus,1,2020,6260,,806,74.1,763,,816,759,284
Czech Republic,5,2020,6897,10530,964,71.3,906,-127,884,832,290
Denmark,1,2020,7515,10910,947,73,938,52,214,818,227
Dominican Republic,4,2020,5168,9802,806,66.4,835,-128,636,734,314
Ecuador,4,2020,5354,9244,804,69.1,829,-157,855,790,416
Egypt,3,2020,4472,9383,673,62.3,770,-112,,599,442
El Salvador,4,2020,5462,9019,696,66.7,924,-126,583,839,329
Estonia,5,2020,6453,10459,958,69,954,-82,398,807,188
Ethiopia,9,2020,4549,7711,823,59.5,769,188,784,669,252
Finland,1,2020,7889,10750,962,72.1,962,-116,164,744,193
France,1,2020,6714,10643,947,74.2,823,-169,565,732,231
Georgia,8,2020,5123,9569,718,64.1,764,-221,583,611,295
Germany,1,2020,7312,10833,905,72.8,864,-60,424,760,206
Ghana,9,2020,5319,8590,643,58,824,200,847,713,253
Greece,1,2020,5788,10215,779,72.8,565,-241,764,684,322
Hong Kong S.A.R. of China,6,2020,5295,,813,0,705,,380,609,210
Hungary,5,2020,6038,10335,943,68.4,771,-120,836,735,240
Iceland,1,2020,7575,10824,983,73,949,160,644,863,172
India,10,2020,4225,8703,617,60.9,906,75,780,752,383
Iran,3,2020,4865,,757,66.6,600,,710,582,470
Iraq,3,2020,4785,9167,708,61.4,700,-21,849,644,532
Ireland,1,2020,7035,11323,960,72.5,882,14,356,797,246
Israel,3,2020,7195,10538,959,73.7,831,-49,748,621,243
Italy,1,2020,6488,10563,890,74,718,-150,844,670,311
Ivory Coast,9,2020,5257,8565,613,50.7,770,16,777,693,340
Japan,6,2020,6118,10580,887,75.2,806,-259,609,742,186
Jordan,3,2020,4094,9150,709,67.2,779,-150,,,
Kazakhstan,8,2020,6168,10135,966,65.8,872,-56,661,684,150
Kenya,9,2020,4547,8365,674,61.3,702,260,837,733,297
Kosovo,5,2020,6294,,792,0,880,,910,726,201
Kyrgyzstan,8,2020,6250,8503,902,64.7,935,103,931,803,258
Laos,7,2020,5284,8960,660,59.5,915,141,748,822,358
Latvia,5,2020,6229,10300,928,67.4,820,-78,809,714,202
Lithuania,5,2020,6391,10504,953,68.5,824,-122,829,660,202
Malta,1,2020,6157,,938,72.2,931,,675,601,411
Mauritius,9,2020,6015,9972,893,67,843,-37,772,767,138
Mexico,4,2020,5964,9782,779,68.9,873,-119,778,810,292
Moldova,8,2020,5812,9462,874,66.4,859,-58,941,727,268
Mongolia,6,2020,6011,9396,918,62.7,718,141,843,636,260
Montenegro,5,2020,5722,9913,887,68.9,802,60,845,603,411
Morocco,3,2020,4803,8871,553,66.5,819,-229,803,587,256
Myanmar,7,2020,4431,8554,796,59.6,825,470,647,800,289
Namibia,9,2020,4451,9104,741,57.1,666,-104,810,648,248
Netherlands,1,2020,7504,10901,944,72.5,935,151,281,784,247
New Zealand,2,2020,7257,10600,952,73.6,918,125,283,849,209
Nigeria,9,2020,5503,8484,739,50.5,713,99,913,744,316
North Macedonia,5,2020,5054,9690,750,65.56,787,131,877,605,365
Norway,1,2020,7290,11042,956,73.4,965,75,271,823,216
Philippines,7,2020,5080,9061,781,62.1,932,-116,744,804,327
Poland,5,2020,6139,10371,953,70.1,767,-7,787,760,329
Portugal,1,2020,5768,10371,875,72.8,913,-238,867,648,383
Russia,8,2020,5495,10162,887,65.1,714,-71,823,645,190
Saudi Arabia,3,2020,6560,10701,890,66.9,884,-111,,754,251
Serbia,5,2020,6042,9788,852,69,843,149,824,603,358
Slovakia,5,2020,6519,10332,954,69.5,762,-75,901,764,274
Slovenia,5,2020,6462,10478,953,71.7,958,-81,797,610,314
South Africa,9,2020,4947,9332,891,57.3,757,-15,912,820,294
South Korea,6,2020,5793,10648,808,74.2,711,-106,665,640,247
Spain,1,2020,6502,10488,935,75,783,-121,730,686,317
Sweden,1,2020,7314,10838,936,72.8,951,91,203,766,222
Switzerland,1,2020,7508,11081,946,74.7,917,-64,280,769,193
Taiwan Province of China,6,2020,6751,,901,0,799,,711,845,83
Tajikistan,8,2020,5373,8080,790,64.7,,-40,550,749,344
Tanzania,9,2020,3786,7881,740,58.5,830,295,521,686,271
Thailand,7,2020,5885,9769,867,67.6,840,273,918,783,326
Tunisia,3,2020,4731,9231,719,67.5,668,-202,877,585,439
Turkey,3,2020,4862,10219,857,67.6,510,-111,774,384,440
Uganda,9,2020,4641,7684,800,56.5,687,147,878,699,425
Ukraine,8,2020,5270,9428,885,65.2,784,126,946,688,285
United Arab Emirates,3,2020,6458,11053,827,67.5,942,60,,752,298
United Kingdom,1,2020,6798,10626,929,72.7,885,203,490,758,225
United States,2,2020,7028,11001,937,68.1,850,34,678,787,295
Uruguay,4,2020,6310,9937,921,69.2,908,-84,491,807,265
Venezuela,4,2020,4574,,805,66.9,612,,811,722,396
Zambia,9,2020,4838,8117,767,56.3,750,56,810,691,345
Zimbabwe,9,2020,3160,7829,717,56.8,643,-9,789,703,346
